ds,yhat,yhat_lower,yhat_upper
2015-01-01,2446.3869842276868,906.6438224297555,3912.691895761901
2015-02-01,1921.8731681289814,430.3464984202582,3348.4801525592907
2015-03-01,2160.776209117905,731.7582200567665,3626.869303818362
2015-04-01,1751.4178667253489,332.8720106720616,3171.6066676900077
2015-05-01,2180.1355810619507,637.1270303867108,3680.550227599042
2015-06-01,2455.5229054661213,1123.5589275598784,3971.878670805213
2015-07-01,2115.4608478498694,718.2544047293169,3556.5675593700785
2015-08-01,2178.8526741844125,746.9869483196206,3574.746744942942
2015-09-01,2681.7290831622295,1253.3519860727135,4201.603035732616
2015-10-01,2363.8246300586434,936.5859528759447,3794.70247863946
2015-11-01,2232.1833942411454,747.4847190790422,3737.9051831011143
2015-12-01,1713.5533649237304,316.13060118811967,3235.4261443460314
2016-01-01,2871.998445411525,1524.4440767929493,4354.961052125502
2016-02-01,2397.290986697861,945.8028725721217,3788.2487440867044
2016-03-01,2686.3367924188265,1276.0731533522705,4163.1607870933485
2016-04-01,2116.875353013423,775.257186375417,3478.6694075948494
2016-05-01,2520.416700776911,1065.7679431231454,3901.8047233530015
2016-06-01,3073.763636071598,1668.7535444199261,4645.729498727271
2016-07-01,2660.9828047518104,1199.0520709377636,4082.527159178969
2016-08-01,2348.9767450163454,925.2775293692035,3754.3260003821933
2016-09-01,3069.6439673934447,1708.5770243427378,4568.337303748271
2016-10-01,2792.129552238415,1395.9489975920296,4335.004640306133
2016-11-01,2696.0812107856964,1212.6099201215848,4110.030151738392
2016-12-01,2266.4286565839498,935.0670862060092,3760.19715133923
2017-01-01,3288.865891616147,2027.6653816210871,4732.208293322405
2017-02-01,2661.674032120418,1149.9010877892563,4022.1454011912374
2017-03-01,3075.0755745556003,1607.0797878963526,4524.924386575898
2017-04-01,2558.008648365109,1225.9764262968256,3979.723115157025
2017-05-01,2971.668586643308,1589.1771785641477,4383.864384433725
2017-06-01,3431.998911447988,1969.1606139619264,4910.758632247598
2017-07-01,3040.3882282097675,1636.8705957206028,4417.367779297538
2017-08-01,2854.4865896865217,1540.3969064902237,4311.705746214324
2017-09-01,3504.9627005876605,2043.1167653455293,4922.569387883361
2017-10-01,3213.689814260612,1805.2608430382522,4747.452300544356
2017-11-01,3105.642316137889,1634.3652130075375,4553.796656077124
2017-12-01,2644.774963795915,1222.1314152510463,4049.361435468596
2018-01-01,3712.1896091472986,2285.240505270916,5178.411266564094
