ds,yhat,yhat_lower,yhat_upper
2015-01-01,1860.2999290142036,531.1011291793099,3193.6595062591005
2015-02-01,1900.3647894353412,491.8297339326389,3231.5136554801443
2015-03-01,2445.2674926651093,1093.3365241975432,3747.8045746153052
2015-04-01,1622.6080336062212,269.08743483762646,3044.90098730737
2015-05-01,1822.2109582214055,422.15413752020504,3184.310969150732
2015-06-01,1984.6458563194672,591.6309623375656,3460.2669636784017
2015-07-01,1782.5524256442366,381.62851570772807,3242.7239115760035
2015-08-01,1484.0385786026995,-11.154891926228226,2934.5902396753677
2015-09-01,1990.1518600573713,520.9021835317391,3470.549193402433
2015-10-01,2098.4109136631114,631.6778299166441,3517.948599339211
2015-11-01,1708.461359029759,328.4807407750778,3137.8379561870324
2015-12-01,1300.4185096115584,-135.61361187789413,2795.819683248129
2016-01-01,1900.2388425788215,574.1068024088132,3307.579958982233
2016-02-01,1953.9725017008386,466.9605196904465,3355.176050087476
2016-03-01,2537.647387209938,1061.4239327762857,3894.297788449553
2016-04-01,1642.6318582144786,362.09849872606827,3008.4640217118417
2016-05-01,1824.4336812552492,393.3106784143938,3260.292938338491
2016-06-01,2086.113234171398,746.7247229601504,3617.0599825342447
2016-07-01,1827.2394859657172,321.95283301320677,3167.747497446216
2016-08-01,1394.7585644314227,-110.11214708697368,2766.1863899320515
2016-09-01,2002.9373824049992,521.7748512359173,3437.0461331450806
2016-10-01,2174.1299631843112,731.5652436511564,3511.5061035588865
2016-11-01,1747.0826642609104,325.6848649093701,3087.466390227903
2016-12-01,1389.049360678747,-36.96703418695777,2789.5874283467037
2017-01-01,1890.9400815294557,436.7331282704183,3289.680935255584
2017-02-01,1901.2258446259668,522.7427027109189,3316.5971489010512
2017-03-01,2543.698498404896,1138.7191911650798,3906.460297197882
2017-04-01,1671.8131130616691,332.1306387648512,3055.4896769767397
2017-05-01,1860.17336336784,471.15138040437716,3235.760185412529
2017-06-01,2088.6127350234833,737.5494883013105,3505.6825159708246
2017-07-01,1847.6565197955504,414.172460397246,3237.798105966986
