ds,yhat,yhat_lower,yhat_upper
2015-01-01,225.87318455287522,-498.75065149399694,894.8586816559531
2015-02-01,185.58069505932178,-458.3672353418037,883.958502000717
2015-03-01,423.2548770827417,-228.08551755454485,1100.4332536387299
2015-04-01,104.43625254444427,-510.27718330537056,785.2750992499095
2015-05-01,168.61485620588005,-465.6939686742629,850.0924748650216
2015-06-01,10.184645096614332,-682.1355223782512,649.263024632402
2015-07-01,93.0742037317309,-558.871550219457,785.1948377062794
2015-08-01,5.668334612700107,-679.1304691560704,730.9010480513588
2015-09-01,234.10585827636197,-423.8586469279482,952.2743593799507
2015-10-01,325.4866794053525,-349.7793615281786,969.7061384825495
2015-11-01,272.2922223140023,-439.3326728320804,950.5840998535198
2015-12-01,201.98486835650522,-509.6565076847336,850.6696251076938
2016-01-01,416.60897997886826,-236.18015047599587,1108.9682630403627
2016-02-01,376.48082032470217,-293.4807088437528,1021.3801808126686
2016-03-01,606.5151315937057,-27.183274115777245,1268.6728086081057
2016-04-01,291.2256372730862,-356.1735909717109,1021.3043097121832
2016-05-01,317.67594431840917,-348.80985949505435,978.6755473813236
2016-06-01,268.19931645388874,-456.2249534770754,925.7517478160775
2016-07-01,305.27609387605094,-386.0037796849297,955.7804313812129
2016-08-01,155.96480045129718,-518.2471570405398,825.0871018549051
2016-09-01,434.9334784703986,-257.1807894031372,1136.4563910263064
2016-10-01,534.9994115810879,-160.36916094317556,1204.6293295194753
2016-11-01,441.48379030285355,-223.17327402634544,1117.8333581136644
2016-12-01,412.7061697066919,-234.96027633144539,1085.7250475673789
2017-01-01,624.112817449735,-68.65757080776847,1305.0356618917392
2017-02-01,584.1204625401634,-89.07731381744446,1208.9346633614819
2017-03-01,805.3362849120256,178.93225028162863,1497.227667343908
2017-04-01,488.7582032629744,-197.19260048396674,1158.3676588028766
2017-05-01,528.3196898873299,-159.8253348252017,1205.864225272862
2017-06-01,442.38074949048814,-279.0933133573339,1074.8129780146153
2017-07-01,494.0547710144087,-168.9618927958637,1185.8869498666395
2017-08-01,365.5811600855303,-262.7632023007919,1048.851158189256
2017-09-01,628.1359125591046,-50.27227338090786,1287.3779084198259
2017-10-01,725.0770793896576,49.23629584674645,1388.7549427716174
2017-11-01,645.0542840237088,-80.90175520426156,1318.2463502249018
2017-12-01,602.5183408960172,9.91714768214833,1239.409970098615
2018-01-01,814.9099917394142,169.4361413509918,1507.0077391459404
2018-02-01,774.6620982818922,86.44912100129162,1418.8686375979398
2018-03-01,1004.1845826074009,359.54329807215095,1699.5077477576588
2018-04-01,686.430744121178,36.64228740531387,1372.5249892209588
2018-05-01,738.5700134248204,53.95381281414262,1378.3041933124707
2018-06-01,616.3016950123521,-79.86534765044871,1258.4887901219931
2018-07-01,683.2512816641433,-21.24987307138209,1312.0234865331893
2018-08-01,575.420890014825,-59.41935045374286,1231.8295692593595
2018-09-01,821.1278468614788,169.06366130043682,1491.9951716445726
2018-10-01,915.1718245197259,265.87234025192134,1588.4376681752306
2018-11-01,848.5926588860939,187.5898952132421,1518.4206391928346
2018-12-01,792.2097152840502,150.9716203005465,1452.9730346498256
2019-01-01,1005.6732266589784,374.00195310666624,1674.8549685343205
2019-02-01,965.3919747201446,252.24474571120388,1606.5976399591084
2019-03-01,1203.0763067926628,544.9250376100655,1857.2379980922904
2019-04-01,884.2689198089683,236.96172458710066,1531.9075991501663
2019-05-01,948.4583985230923,222.76685888529508,1608.6490360951934
2019-06-01,790.0394247475002,157.1018859907989,1423.2332723589593
2019-07-01,873.8902340507544,214.3614335273415,1551.5897032943117
2019-08-01,787.4776572889848,104.37347488374034,1471.5702315790481
2019-09-01,1016.9084733096138,318.68277642900284,1668.4622170328
2019-10-01,1109.2505450868507,426.7253845171878,1749.54732632141
2019-11-01,1057.0494315524957,421.8610633516605,1730.381594935921
2019-12-01,987.7033778114286,301.97985224527696,1675.889916368131
2020-01-01,1203.3208329909328,574.2521003540194,1913.201851384289
2020-02-01,1164.1860166589693,482.3276251425822,1822.7665344016073
2020-03-01,1395.149597044523,773.8027746133301,2100.1935795823
2020-04-01,1080.853459365719,413.92186991421676,1759.3578106076989
2020-05-01,1108.2650792902489,438.50027906331536,1789.0539570844378
2020-06-01,1059.7818078014252,329.10173368653835,1731.759698812769
2020-07-01,1098.074465427997,450.35499537725207,1780.4599968456344
2020-08-01,950.019581547701,314.29753919467356,1615.1053980191043
2020-09-01,1230.244669111301,551.0830706415423,1860.7147705976636
2020-10-01,1331.526482435708,679.5757892558312,2000.2603856321973
2020-11-01,1239.2681529503827,618.0726306302331,1946.776368477503
2020-12-01,1211.707266347197,524.3419492326535,1881.5343261417793
2021-01-01,1424.3712058830918,721.3013297446558,2070.6727320062905
2021-02-01,1385.6361427533036,705.9115016895905,2014.1860618676164
2021-03-01,1607.9877582963186,953.285757348828,2295.9189987523996
2021-04-01,1292.6671619438112,573.0459156058149,1972.215147309485
2021-05-01,1333.44556982288,637.7463959367707,2007.9758046183265
2021-06-01,1248.7641146952308,575.0153573338295,1907.370506988311
2021-07-01,1301.6550672526319,640.0582575902027,1941.5502513737067
2021-08-01,1174.4389517247319,542.4380424491127,1834.7086863619306
2021-09-01,1438.2511995990951,736.7140622999542,2137.767150617723
2021-10-01,1536.4092973767433,854.4673961830046,2177.059017870566
2021-11-01,1457.643997755439,804.6600676134888,2159.156285418001
2021-12-01,1416.3249859934763,744.7852194471908,2117.814009622528
2022-01-01,1629.9741325813864,935.2674883830748,2334.4845213410927
2022-02-01,1590.983734353458,975.3931413031088,2221.071338924492
