ds,yhat,yhat_lower,yhat_upper
2015-01-01,-9.202577792164842,-235.4534519372736,205.26572124556017
2015-02-01,-34.30668859763874,-277.88043059830005,169.69079923943357
2015-03-01,17.288563493641053,-209.63087747460924,231.17218310815412
2015-04-01,-3.810578137526587,-220.3581766023225,235.1772772421405
2015-05-01,8.921536124737624,-216.07201626969652,229.4807896475424
2015-06-01,11.133886911699474,-188.89623535373707,259.91960606421617
2015-07-01,75.19872359553875,-159.3955385968071,286.9066232508643
2015-08-01,47.35908030815171,-164.3602153461713,259.2466850873061
2015-09-01,115.27702242848852,-110.07983615774849,334.0246428064574
2015-10-01,71.35738549126309,-175.00604943798584,301.51163233074976
2015-11-01,64.50694937076801,-161.09648980973583,291.0658686047673
2015-12-01,25.2261097826116,-177.87444606777075,257.74543333846503
2016-01-01,39.68289724862329,-184.74935778083315,280.79704377172004
2016-02-01,16.748333288506032,-208.21262204447126,242.9365158737813
2016-03-01,71.97168977966497,-151.89638890201695,275.9699003345315
2016-04-01,39.45203667595031,-168.96391661933032,268.01934270205
2016-05-01,54.02890865309171,-171.21487795056305,263.93070249754226
2016-06-01,71.34042123850335,-157.93047379934217,284.17792451938675
2016-07-01,134.66541801013034,-88.81585085369318,370.61107403275355
2016-08-01,60.63199281472333,-157.982507360195,292.884462224237
2016-09-01,163.93953226634028,-57.85738236192363,379.9757714486365
2016-10-01,117.9781362249054,-113.73878866872062,341.89239980586467
2016-11-01,117.18567164789339,-96.29410482567003,345.77902878704265
2016-12-01,85.88585685218551,-138.0632411836462,331.0200965044565
2017-01-01,77.85558119433121,-159.74374391439179,299.09875013684695
2017-02-01,47.92661588467445,-182.72549280335693,272.8072573575788
2017-03-01,115.28265178974127,-110.77512679291614,353.3177554318005
2017-04-01,86.48985390497339,-138.28847425398348,314.67619633257914
2017-05-01,100.52755944581466,-101.00277933331724,329.37622250995776
2017-06-01,112.74136261726889,-94.58958098154986,304.8961031653299
2017-07-01,176.09529334620353,-52.23968023191296,403.09662767991955
2017-08-01,117.56832484530916,-101.87773467459311,348.7948892131619
2017-09-01,209.3462785637004,-4.340295561703031,444.97324994379886
2017-10-01,163.97530924666592,-64.73793483924203,397.2502947238393
2017-11-01,161.1525601738826,-63.00877583011822,378.4939764033299
2017-12-01,127.01361556006204,-99.56649965191455,352.1036932273674
2018-01-01,126.43123641745153,-94.71567746251844,335.6921179390069
2018-02-01,99.21785519515076,-130.75086262994165,330.5829332972428
2018-03-01,158.93489159270922,-73.31045503640208,382.8794288038083
2018-04-01,134.17297129645564,-83.71140472010359,367.7200676010224
2018-05-01,147.811498040363,-72.78496784038738,379.6293036659905
2018-06-01,155.63651422634214,-70.58635148673673,374.7208766489045
2018-07-01,219.8633068817204,9.618467562340582,447.9526408451433
2018-08-01,177.38522715147693,-64.8728975863176,383.2378149980539
2018-09-01,258.0096239770491,8.765362318644431,492.03987132901483
2018-10-01,214.54431742551145,-10.645636670608148,434.7620008325681
2018-11-01,210.96851925175278,-3.2860506517701915,430.04087630179106
2018-12-01,175.39521362905703,-58.3326951328954,410.9952942683872
2019-01-01,183.57877500839783,-38.78538627372851,389.5007953937523
2019-02-01,160.48889977982924,-66.86429502957763,378.3838665705409
2019-03-01,213.9034614244804,-21.147590683821264,431.8586996199856
2019-04-01,194.81855537015582,-40.409963521456135,422.83381479314437
2019-05-01,209.49992986810756,-15.614734098316267,428.79344991699327
